Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2020,AQS,170310076,1,14,ppb,13,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/02/2020,AQS,170310076,1,23,ppb,22,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/03/2020,AQS,170310076,1,22.9,ppb,21,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/04/2020,AQS,170310076,1,22.1,ppb,21,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/05/2020,AQS,170310076,1,9.3,ppb,8,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/06/2020,AQS,170310076,1,29.6,ppb,27,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/07/2020,AQS,170310076,1,30.2,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/08/2020,AQS,170310076,1,23.7,ppb,22,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/09/2020,AQS,170310076,1,13.7,ppb,12,COM ED MAINTENANCE BLDG,22,92.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/10/2020,AQS,170310076,1,21.4,ppb,20,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/11/2020,AQS,170310076,1,14.9,ppb,13,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/12/2020,AQS,170310076,1,27.7,ppb,25,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/13/2020,AQS,170310076,1,15,ppb,14,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/14/2020,AQS,170310076,1,24,ppb,23,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/15/2020,AQS,170310076,1,23.8,ppb,22,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/16/2020,AQS,170310076,1,24.5,ppb,23,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/17/2020,AQS,170310076,1,35.1,ppb,33,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/18/2020,AQS,170310076,1,10.7,ppb,9,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/19/2020,AQS,170310076,1,28.8,ppb,26,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/20/2020,AQS,170310076,1,38.4,ppb,36,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/21/2020,AQS,170310076,1,41.1,ppb,39,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/22/2020,AQS,170310076,1,22.3,ppb,21,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/23/2020,AQS,170310076,1,30.5,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/24/2020,AQS,170310076,1,27.8,ppb,25,COM ED MAINTENANCE BLDG,22,92.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/25/2020,AQS,170310076,1,16.5,ppb,15,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/26/2020,AQS,170310076,1,8.8,ppb,8,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/27/2020,AQS,170310076,1,31.6,ppb,29,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/28/2020,AQS,170310076,1,28.6,ppb,26,COM ED MAINTENANCE BLDG,22,92.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/29/2020,AQS,170310076,1,29.6,ppb,27,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/30/2020,AQS,170310076,1,28.4,ppb,26,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/31/2020,AQS,170310076,1,21.3,ppb,20,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/01/2020,AQS,170310076,1,13.8,ppb,12,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/02/2020,AQS,170310076,1,28.8,ppb,26,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/03/2020,AQS,170310076,1,42.1,ppb,40,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/04/2020,AQS,170310076,1,11.3,ppb,10,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/05/2020,AQS,170310076,1,16.6,ppb,15,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/06/2020,AQS,170310076,1,18.2,ppb,17,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/07/2020,AQS,170310076,1,41.9,ppb,39,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/08/2020,AQS,170310076,1,26.9,ppb,25,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/09/2020,AQS,170310076,1,16.1,ppb,15,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/10/2020,AQS,170310076,1,32.3,ppb,30,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/11/2020,AQS,170310076,1,25.3,ppb,24,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/12/2020,AQS,170310076,1,32.9,ppb,30,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/13/2020,AQS,170310076,1,32.8,ppb,30,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
02/14/2020,AQS,170310076,1,32.8,ppb,30,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
